Nation_ID,Country,Continent_ID
1,United States,4
2,Argentina,5
3,Belgium,3
4,Brazil,5
5,Cameroon,1
6,Canada,4
7,Colombia,5
8,Republic of the Congo,1
9,Denmark,3
10,Netherlands,3
11,Ecuador,5
12,Egypt,1
13,England,3
14,France,3
15,Georgia,3
16,Germany,3
17,Hungary,3
18,Italy,3
19,Ivory Coast,1
20,Morocco,1
21,Nigeria,1
22,Norway,3
23,Poland,3
24,Portugal,3
25,Scotland,3
26,Senegal,1
27,Serbia,3
28,South Korea,2
29,Spain,3
30,Switzerland,3
31,Sweden,3
32,Ghanian,1
33,Japan,2
