Player_ID,Full_Name,Birthdate,Nationality,Nation_ID,Position,Jersey_Number,Team_ID,Year_Joined_Club,Debut_Career,   Market_Value_In_Millions   
1,Moisés Caicedo,11/2/2001,Ecuadorian,11,Midfielder,25,1,2023,2019,75000000
2,Enzo Fernández,1/17/2001,Argentine,2,Midfielder,8,1,2023,2020,75000000
3,Pedro Neto,3/9/2000,Portuguese,24,Forward,7,1,2024,2017,55000000
4,Reece James ,12/8/1999,English,13,Defender,24,1,2019,2018,40000000
5,Nicolas Jackson ,6/20/2001,Senegalese,26,Forward,15,1,2023,2022,35000000
6,Christopher Nkunku,11/14/1997,French,14,Forward,18,1,2023,2015,65000000
7,Levi Colwill,2/26/2003,English,13,Defender,6,1,2022,2022,50000000
8,Cole Palmer,5/6/2022,English,13,Midfielder,20,1,2023,2020,80000000
9,Bukayo Saka,9/5/2001,English,13,Forward,7,2,2019,2018,140000000
10,Declan Rice,1/14/1999,English,13,Midfielder,41,2,2023,2017,120000000
11,Martin Ødegaard,12/17/1998,Norwegian,22,Midfielder,8,2,2021,2014,110000000
12,Kai Havertz,6/11/1999,German,16,Forward,29,2,2023,2016,70000000
13,Heung-min Son,7/8/1992,South Korean,28,Forward,7,3,2015,2010,45000000
14,Dominic Solanke,9/14/1997,English,13,Forward,19,3,2024,2014,40000000
15,Cristian Romero,4/27/1998,Argentine,2,Defender,17,3,2022,2016,65000000
16,Micky van de Ven,5/19/2001,Dutch,10,Defender,37,3,2023,2020,55000000
17,James Maddison,11/23/1996,English,13,Forward,10,3,2023,2014,70000000
18,Joshua Zirkzee,5/22/2001,Dutch,10,Forward,11,4,2024,2019,50000000
19,Matthijs de Ligt,8/12/1999,Dutch,10,Defender,4,4,2024,2016,65000000
20,Marcus Rashford,10/31/1997,English,13,Forward,10,4,2016,2016,60000000
21,Bruno Fernandes,9/8/1994,Portuguese,24,Midfielder,8,4,2020,2012,70000000
22,Erling Haaland ,7/21/2000,Norwegian,22,Forward,9,5,2022,2016,180000000
23,Sávio Oliveira,4/10/2004,Brazilian,4,Forward,26,5,2024,2022,50000000
24,Kevin De Bruyne,6/28/1991,Belgian,3,Midfielder,17,5,2015,2008,50000000
25,Phil Foden,5/28/2000,English,13,Midfielder,47,5,2017,2017,150000000
26,Rodri Cascante,6/22/1996,Spanish,29,Midfielder,16,5,2019,2015,130000000
27,Luis Díaz,1/13/1997,Colombian,7,Forward,7,6,2022,2016,75000000
28,Virgil van Dijk,7/8/1991,Dutch,10,Defender,4,6,2018,2011,30000000
29,Mohamed Salah,6/15/1992,Egyptian,12,Forward,11,6,2017,2010,55000000
30,Dominik Szoboszlai,10/25/2000,Hungarian,17,Midfielder,8,6,2023,2017,75000000
31,Andrew Robertson ,3/11/1994,Scottish,25,Defender,26,6,2017,2012,30000000
32,Wataru Endo,2/9/1993,Japanese,33,Midfielder,3,6,2023,2010,13000000
33,Frenkie de Jong,5/12/1997,Dutch,10,Midfielder,21,7,2019,2015,70000000
34,Lamine Yamal ,7/13/2007,Spanish,29,Forward,19,7,2023,2023,120000000
35,Pau Cubarsí,1/22/2007,Spanish,29,Defender,2,7,2024,2023,30000000
36,Robert Lewandowski,8/21/1988,Polish,23,Forward,9,7,2022,2006,15000000
37,Pau Víctor,11/26/2001,Spanish,29,Forward,18,7,2024,2022,1500000
38,Pedri González,11/25/2002,Spanish,29,Midfielder,8,7,2019,2019,80000000
39,Kylian Mbappé,12/20/1998,French,14,Forward,9,8,2024,2015,180000000
40,Dani Carvajal ,1/11/1992,Spanish,29,Defender,2,8,2013,2010,12000000
41,Vinícius Júnior,7/12/2000,Brazilian,4,Forward,7,8,2018,2017,180000000
42,Jude Bellingham,6/29/2003,English,13,Midfielder,5,8,2023,2019,180000000
43,Antonio Rüdiger,3/3/1993,German,16,Defender,22,8,2022,2012,25000000
44,Conor Gallagher,2/6/2000,English,13,Midfielder,4,9,2024,2021,50000000
45,Julián Alvarez,1/31/2000,Argentine,2,Forward,19,9,2024,2018,90000000
46,Antoine Griezmann,3/21/1991,French,14,Forward,7,9,2023,2009,25000000
47,Axel Witsel,1/12/1989,Belgian,3,Defender,20,10,2022,2006,3500000
48,Jesús Navas,11/21/1985,Spanish,29,Defender,16,10,2017,2003,2500000
49,Dodi Lukebakio,9/24/1997,Spanish,29,Forward,11,10,2023,2015,12000000
